ttl,ip,rtt
1,192.168.0.1,147.29714393615723
1,192.168.0.1,59.15522575378418
1,192.168.0.1,51.15318298339844
7,195.22.220.56,47.04022407531738
7,195.22.220.56,94.93374824523926
7,195.22.220.56,103.21950912475586
8,195.22.219.67,86.91644668579102
8,195.22.219.67,110.98647117614746
8,195.22.219.67,87.19491958618164
9,149.3.181.65,107.12814331054688
9,149.3.181.65,87.22972869873047
9,149.3.181.65,83.26315879821777
10,129.250.4.202,94.88916397094727
10,129.250.4.202,99.05123710632324
10,129.250.4.202,119.08960342407227
