ttl,ip,rtt
1,192.168.1.1,119.1709041595459
1,192.168.1.1,66.99562072753906
1,192.168.1.1,71.0911750793457
1,192.168.1.1,83.14943313598633
1,192.168.1.1,59.28301811218262
1,192.168.1.1,58.920860290527344
1,192.168.1.1,66.98250770568848
1,192.168.1.1,87.12077140808105
1,192.168.1.1,70.9681510925293
1,192.168.1.1,83.10294151306152
1,192.168.1.1,67.24166870117188
1,192.168.1.1,62.98327445983887
1,192.168.1.1,63.493967056274414
1,192.168.1.1,75.11401176452637
1,192.168.1.1,79.25009727478027
1,192.168.1.1,62.99114227294922
1,192.168.1.1,67.05093383789062
2,200.51.241.1,79.00524139404297
2,200.51.241.1,71.05493545532227
2,200.51.241.1,79.1628360748291
2,200.51.241.1,54.9318790435791
2,200.51.241.1,59.371232986450195
2,200.51.241.1,63.11511993408203
2,200.51.241.1,79.13970947265625
2,200.51.241.1,50.97818374633789
2,200.51.241.1,59.096574783325195
2,200.51.241.1,75.38652420043945
2,200.51.241.1,58.85624885559082
2,200.51.241.1,51.08642578125
2,200.51.241.1,75.36172866821289
2,200.51.241.1,70.9528923034668
2,200.51.241.1,67.02947616577148
2,200.51.241.1,71.14124298095703
2,200.51.241.1,54.80527877807617
2,200.51.241.1,75.08349418640137
2,200.51.241.1,66.97201728820801
2,200.51.241.1,63.133955001831055
2,200.51.241.1,70.99747657775879
2,200.51.241.1,66.70308113098145
2,200.51.241.1,83.07409286499023
2,200.51.241.1,74.91612434387207
2,200.51.241.1,74.90348815917969
2,200.51.241.1,74.99265670776367
2,200.51.241.1,58.947086334228516
2,200.51.241.1,86.76505088806152
2,200.51.241.1,54.952144622802734
2,200.51.241.1,46.71001434326172
3,81.173.106.61,83.11867713928223
3,81.173.106.61,58.779001235961914
3,81.173.106.61,75.11234283447266
3,81.173.106.61,63.1566047668457
3,81.173.106.61,70.86920738220215
3,81.173.106.61,55.21678924560547
3,81.173.106.61,54.904937744140625
3,81.173.106.61,71.09761238098145
3,81.173.106.61,56.17690086364746
3,81.173.106.61,92.78440475463867
3,81.173.106.61,55.91392517089844
3,81.173.106.61,91.54462814331055
3,81.173.106.61,74.83911514282227
3,81.173.106.61,54.97169494628906
3,81.173.106.61,74.92351531982422
3,81.173.106.61,55.071353912353516
3,81.173.106.61,71.34175300598145
3,81.173.106.61,70.70088386535645
3,81.173.106.61,62.82830238342285
3,81.173.106.61,58.843135833740234
3,81.173.106.61,78.91702651977539
3,81.173.106.61,62.85500526428223
3,81.173.106.61,75.14667510986328
