ttl,ip,rtt
1,192.168.1.1,68.96010567160214
2,200.51.241.1,1.0873761831545323
3,81.173.106.61,66.94528589061663
4,213.140.39.118,62.38569745830461
5,94.142.97.59,137.21895508776564
6,94.142.98.123,59.12867890983364
7,94.142.107.31,179.6780456385062
8,94.142.107.31,55.85713890383184
9,63.223.17.242,374.941494989499
10,63.218.115.14,62.36274746248665
11,101.4.114.181,403.8969863733695
12,101.4.114.238,59.2934897262806
13,101.4.115.113,398.9740400792207
14,101.4.118.213,66.79535415956917
15,101.4.0.1,401.88633891751823
16,101.4.0.1,66.93788078615609
17,101.4.0.1,401.31363364865837
18,101.4.0.1,57.239044777448385
19,101.4.0.1,407.2722066721366
20,101.4.0.1,63.4046843368763
21,101.4.0.1,406.8943768025483
22,101.4.0.1,58.93401808728322
23,101.4.0.1,415.61546616564647
24,101.4.0.1,52.65063153892305
25,101.4.0.1,415.2681618214692
26,101.4.0.1,49.03201766003713
27,101.4.0.1,417.36293129931346
28,101.4.0.1,46.2631991226429
29,101.4.0.1,422.72246174822703
30,101.4.0.1,44.24892770438936
