ttl,ip,rtt
1,192.168.0.1,64.8807497585521
2,10.31.0.1,4.444824480542948
3,10.242.5.137,64.23445262160956
4,192.168.64.66,6.5559892093433945
5,185.70.203.38,67.32655085769355
6,89.221.35.145,194.3688341215545
7,198.32.176.177,62.045452174018436
8,202.158.194.176,294.62005577835384
9,113.197.15.146,63.226013557583656
10,113.197.15.12,238.24625011919596
11,138.44.5.111,50.34529919510561
12,203.10.91.69,307.6150236124695
17,130.130.39.1,60.4046287541687
18,130.130.39.1,295.349214235435
19,130.130.39.1,65.45409584096069
20,130.130.39.1,295.2784019991314
21,130.130.39.1,65.5326964175149
22,130.130.39.1,293.6656433626568
23,130.130.39.1,69.96592016458669
24,130.130.39.1,276.83973455848206
25,130.130.39.1,81.9371526994118
26,130.130.39.1,278.4389033359479
27,130.130.39.1,78.25732416523073
28,130.130.39.1,289.74871450054076
29,130.130.39.1,71.18657615395955
30,130.130.39.1,290.52384509034385
