ttl,ip,rtt
1,192.168.0.1,149.8281955718994
1,192.168.0.1,67.18945503234863
1,192.168.0.1,66.96605682373047
7,195.22.220.56,51.06925964355469
7,195.22.220.56,67.25621223449707
7,195.22.220.56,74.98955726623535
8,89.221.35.145,195.18160820007324
8,89.221.35.145,195.07288932800293
8,89.221.35.145,199.19753074645996
9,198.32.176.177,187.15310096740723
9,198.32.176.177,187.0272159576416
9,198.32.176.177,191.1780834197998
10,202.158.194.176,347.34487533569336
10,202.158.194.176,343.2154655456543
10,202.158.194.176,355.18836975097656
